"","pValue","Adjusted","logFC"
"znf503",0.213856162374004,1,0.956152951074852
"si:ch211-198a12.6",0.17546633035995,1,0.636281055858632
"emx2",2.97790681003107e-11,2.17387197132268e-08,9.76035782825538
"nfkb2",0.00534679734837062,1,1.10028581110385
"msx3",0.144080361232161,1,0.849771978162885
"znf511",0.00832150147732402,1,1.44220457677016
"atoh7",0.306686103795929,1,15.219690275187
"rel",0.226608410569702,1,1.00707923503035
"pax2a",0.00136685489413124,0.997804072715807,5.31512784618458
"zmiz1a",0.000260813787063441,0.190394064556312,1.26567889755225
"drgx",0.00597411794436009,1,6.1633870719701
"six1a",0,0,1.95820429237273
"six4a",0.999975619235882,1,0.118219846263384
"mycla",0.0197289557537133,1,0.640919119490955
"nkx2.3",0.999570566479573,1,0.234971504645689
"lrrfip2",0.00010427380769118,0.0761198796145612,0.462816658051512
"si:dkeyp-2e4.6",0.0227521620579699,1,2.36542892474387
"si:dkeyp-2e4.5",0.984785086603984,1,0.309289673944879
"si:dkeyp-2e4.3",0.888547858487077,1,0.921773156353179
"si:dkeyp-2e4.3.1",0.00918220695655703,1,2.1647919013551
"runx3",0.336441686292063,1,1.567132739787
"tomm20a",0.000746444357793363,0.544904381189155,0.461057262945282
"nkx3.2",0,0,1.64266829499023
"hopx",0,0,1.22280270360814
"irf2",4.62006669290638e-05,0.0337264868582166,0.648214087945479
"znf711",0.964460266141578,1,0.477794225454862
"mxd3",0,0,1.15648739928892
"egr1",8.42228779862619e-06,0.00614827009299712,1.72962782166125
"ssrp1a",0,0,1.29715956286478
"nr3c1",0.999374616000964,1,0.108364594016549
"si:rp71-1d10.8",0.590517059236048,1,1.58969546076318
"smad5",0.952551552818694,1,0.1404139909533
"tsc22d3",0.869931868914193,1,0.374030096700453
"fosl1a",3.0602016476422e-09,2.23394720277881e-06,0.880060443108855
"foxo4",0.218865126537168,1,0.400664161978928
"sox3",0.00217865325853694,1,0.378167921519399
"nkrf",0.0512780152883563,1,0.596021691186526
"zbtb33",0.0790763480718907,1,1.26895452914727
"ebf1a",0.000658988666988214,0.481061726901396,0.539605126217833
"zbtb3",0.0127799930186486,1,1.85498815029765
"ef1",0.00139937364796683,1,0.467681235645174
"elf2a",0.433322830339314,1,0.297523000197561
"rest",0.921605670008347,1,0.224842106061717
"si:ch73-144d13.4",0.714559964094192,1,0.826650716844248
"im:7143333",0.99999999756225,1,0.0306532318470458
"si:dkey-7i4.11",0.526800780993055,1,0.782795706242667
"foxo1a",0.915424706868441,1,0.381876168192553
"tfdp2",4.78043160612174e-10,3.48971507246887e-07,1.64469361382039
"si:ch73-311h14.2",0.525592129243509,1,0.633326732259395
"her8.2",9.08296099152439e-05,0.0663056152381281,2.97011695507998
"si:ch211-113p18.3",0.0475723327802623,1,0.481302083484413
"zgc:162730",0,0,2.05480419315005
"tada2a",0.995113640598283,1,0.282841277203349
"relb",0.0327119901053695,1,1.00455624615155
"atf5b",0.0135295897864536,1,0.800269954826288
"prkrirb",0.999942852336239,1,0.16463276372298
"zgc:112083",0.300934950275853,1,1.96945978417288
"usf1",0.265164421488514,1,0.576400356051599
"si:dkey-182i3.8",0.999999998305033,1,0.0308058938580292
"hmgb1b",0,0,0.408609258241003
"si:ch211-276c2.4",0.000938148397259697,0.684848329999579,1.52204556931329
"CU929391.2",0.999817479480728,1,0.215673927045408
"irx2a",0,0,2.04204550979967
"irx1a",0.000180459457577942,0.131735404031897,1.21501359104245
"preb",0.0397949293981709,1,0.826210755161906
"znf236",0.100956165346256,1,2.14356406440052
"prdm1a",0,0,2.03148943195592
"grhl2a",1.25122134875255e-12,9.13391584589363e-10,0.812921397066868
"id4",4.63553639917791e-11,3.38394157139987e-08,0.596141931215423
"erfl3",0.632415357695421,1,0.57875580987174
"cicb",0.0547114775521762,1,0.918700015700173
"dbpb",0.880469236776389,1,1.0543539773978
"si:dkeyp-69b9.6",0.967856566013856,1,0.516407033215261
"tax1bp1b",0.951792693144133,1,0.0567447630077433
"hoxa2b",0.504666922961653,1,0.409139157306787
"setdb1b",0.0271077427863553,1,3.05138662863383
"flad1",0.918316344586913,1,0.10275876861637
"si:dkeyp-84f3.5",0.999919885561515,1,0.10007961175617
"znf1035",0.325654840182465,1,0.577774158501368
"im:7147486",0.0907394118957345,1,2.57448683783267
"si:dkeyp-84f3.9",0.282658062700429,1,1.54062402079351
"zgc:66448",3.84605027933249e-05,0.0280761670391272,1.0633380577988
"znf576.1",0.000867876641302945,0.63354994815115,1.24329635610274
"wu:fe05a04",0.0795512388970505,1,1.20570521828586
"zhx2a",0.970217098142303,1,0.189011639003325
"nr4a3",0.201957132989205,1,2.44858936780449
"mef2d",0.997566933101636,1,0.137538157381393
"arid1aa",0.0690428803212861,1,1.01433017276767
"hivep3b",0.926853055979981,1,1.98882519824028
"smarcc1a",5.91120169113335e-05,0.0431517723452735,0.85667787344058
"pbx2",0.272824672151889,1,0.801241394148952
"nr1d2a",0.000977431911189042,0.713525295168,0.42771930659499
"zbtb7b",0.251931829501391,1,1.27980221961476
"cdc5l",0.604520402100718,1,0.409290339724616
"mgaa",0.02845818246422,1,1.14336258655588
"arid4a",0.011119881869631,1,0.672202605345002
"ahctf1",0.258906050396614,1,0.899564785284522
"wdhd1",0.0678314977210484,1,6.85490031597799
"znf395a",0.518301978963056,1,0.611698367443382
"bcl11ba",0.000893770520499104,0.652452479964346,0.998535330389251
"hmx3a",0.447032613607578,1,0.413930591709031
"hmx2",0.000301482129926756,0.220081954846532,0.691785104913814
"ikzf5",0.506094327222146,1,0.772836485124977
"grhl3",0.386706712412558,1,1.96841840129799
"id3",0.0870916368014983,1,0.3818345880425
"foxg1a",0.981138456088556,1,0.285724038073955
"rcor1",0,0,0.635498770908493
"yy1a",2.35906330214863e-06,0.0017221162105685,0.831232228569364
"klf11b",0.11477207451494,1,0.483416162866862
"gcfc2",0.919463549382083,1,0.70657811344229
"prox1a",0.929586682436126,1,0.235921617709619
"id2a",0,0,0.862053027907241
"sox11a",0.999954108970002,1,0.0960080869613426
"elmsan1b",0.437379409287817,1,0.672078658292561
"mta1",0.996540159201684,1,0.313038101964094
"zfp36l1a",0.451014856425194,1,0.637014383704885
"fosl2",0.0127407304124102,1,0.606378222373868
"insm1b",0,0,2.3063569490508
"tfb1m",0.902869965077497,1,0.491472665178366
"zgc:171599",0.999810181637063,1,0.157201706857078
"zgc:113372",0.522245723051502,1,0.538174326057856
"si:ch211-235i11.5",0.304413669345806,1,2.37724415554521
"si:ch211-235i11.3",0.989145171019218,1,0.516880140709849
"myef2",1.05466777533536e-08,7.69907475994813e-06,1.00091505051784
"si:ch73-386h18.1",0.690764984808648,1,0.63599553724045
"arntl2",0.971026041610532,1,0.597917085026832
"bhlhe41",0.0612833827777012,1,1.31730950381534
"znf143b",0.0501955356965667,1,0.884656807543999
"pias1b",0.3597996765117,1,1.75101707616496
"ctcf",0.000647623590801505,0.472765221285099,0.933390761232492
"cbfb",0.00528607912966617,1,1.3245429977581
"mef2aa",0.740694726520921,1,0.444623766911304
"nr2f2",0.860659466032841,1,0.790470834081736
"znf592",0.999884062151931,1,0.187476015857634
"tcf25",5.34903627935623e-06,0.00390479648393005,0.559406131171065
"znf296",0.169183143191854,1,1.52926833518177
"fosb",2.11798493188198e-08,1.54612900027384e-05,1.93265518355464
